X,Y,Index_,event_unique_id,occurrencedate,reporteddate,premisetype,ucr_code,ucr_ext,offence,reportedyear,reportedmonth,reportedday,reporteddayofyear,reporteddayofweek,reportedhour,occurrenceyear,occurrencemonth,occurrenceday,occurrencedayofyear,occurrencedayofweek,occurrencehour,MCI,Division,Hood_ID,Neighbourhood,Long,Lat,ObjectId
-79.3957062,43.7223244,7734,GO-20151746998,2015-10-10T01:45:00.000Z,2015-10-10T04:05:00.000Z,Outside,1610,220,Robbery - Other,2015,October,10,283,Saturday  ,4,2015,October,10,283,Saturday  ,1,Robbery,D53,103,Lawrence Park South (103),-79.3957062,43.7223244,7375
-79.3957062,43.7223244,7735,GO-20151746998,2015-10-10T01:45:00.000Z,2015-10-10T04:05:00.000Z,Outside,1610,200,Robbery - Mugging,2015,October,10,283,Saturday  ,4,2015,October,10,283,Saturday  ,1,Robbery,D53,103,Lawrence Park South (103),-79.3957062,43.7223244,7376
-79.4000473,43.722816499999986,7627,GO-2015498747,2015-03-25T10:50:00.000Z,2015-03-25T11:42:00.000Z,House,2120,200,B&E,2015,March,25,84,Wednesday ,11,2015,March,25,84,Wednesday ,10,Break and Enter,D53,103,Lawrence Park South (103),-79.4000473,43.7228165,7781
-79.3833694,43.7180099,6448,GO-20151734904,2015-10-07T17:00:00.000Z,2015-10-08T04:47:00.000Z,House,2120,200,B&E,2015,October,8,281,Thursday  ,4,2015,October,7,280,Wednesday ,17,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3833694,43.7180099,6469
-79.3816147,43.7231483,6387,GO-201581071,2015-01-14T14:40:00.000Z,2015-01-14T21:09:00.000Z,House,2120,200,B&E,2015,January,14,14,Wednesday ,21,2015,January,14,14,Wednesday ,14,Break and Enter,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3816147,43.7231483,6697
-79.4013977,43.7209625,6990,GO-20151592670,2015-09-14T14:45:00.000Z,2015-09-15T06:37:00.000Z,Other,2120,200,B&E,2015,September,15,258,Tuesday   ,6,2015,September,14,257,Monday    ,14,Break and Enter,D53,103,Lawrence Park South (103),-79.4013977,43.7209625,6785
-79.4027939,43.7159157,6168,GO-20142400023,2014-06-28T19:00:00.000Z,2014-06-30T11:18:00.000Z,House,2120,200,B&E,2014,June,30,181,Monday    ,11,2014,June,28,179,Saturday  ,19,Break and Enter,D53,103,Lawrence Park South (103),-79.4027939,43.7159157,6829
-79.3905106,43.7165489,13702,GO-2015562770,2015-04-05T03:40:00.000Z,2015-04-05T09:10:00.000Z,House,2120,200,B&E,2015,April,5,95,Sunday    ,9,2015,April,5,95,Sunday    ,3,Break and Enter,D53,99,Mount Pleasant East (99),-79.3905106,43.7165489,13110
-79.3779221,43.7217369,13846,GO-2015792295,2015-05-09T10:00:00.000Z,2015-05-12T19:30:00.000Z,Other,1430,100,Assault,2015,May,12,132,Tuesday   ,19,2015,May,9,129,Saturday  ,10,Assault,D53,41,Bridle Path-Sunnybrook-York Mills (41),-79.3779221,43.7217369,13872
-79.3592606,43.717308,13898,GO-2015165438,2015-01-27T16:30:00.000Z,2015-01-28T15:30:00.000Z,House,1430,100,Assault,2015,January,28,28,Wednesday ,15,2015,January,27,27,Tuesday   ,16,Assault,D53,56,Leaside-Bennington (56),-79.3592606,43.717308,13924
